name,kind,return_type,storage,params,file,line,signature
AcseAuthenticationParameter_create,declaration,LIB61850_API AcseAuthenticationParameter,,void,mms/inc/iso_connection_parameters.h,58,LIB61850_API AcseAuthenticationParameter AcseAuthenticationParameter_create(void)
AcseAuthenticationParameter_destroy,declaration,LIB61850_API void,,AcseAuthenticationParameter self,mms/inc/iso_connection_parameters.h,61,LIB61850_API void AcseAuthenticationParameter_destroy(AcseAuthenticationParameter self)
AcseAuthenticationParameter_destroy,definition,void,,AcseAuthenticationParameter self,mms/iso_common/iso_connection_parameters.c,18,void AcseAuthenticationParameter_destroy(AcseAuthenticationParameter self)
AcseAuthenticationParameter_getAuthMechanism,declaration,LIB61850_API AcseAuthenticationMechanism,,AcseAuthenticationParameter self,mms/inc/iso_connection_parameters.h,67,LIB61850_API AcseAuthenticationMechanism AcseAuthenticationParameter_getAuthMechanism(AcseAuthenticationParameter self)
AcseAuthenticationParameter_getAuthMechanism,definition,AcseAuthenticationMechanism,,AcseAuthenticationParameter self,mms/iso_common/iso_connection_parameters.c,66,AcseAuthenticationMechanism AcseAuthenticationParameter_getAuthMechanism(AcseAuthenticationParameter self)
AcseAuthenticationParameter_getPassword,declaration,LIB61850_API const char*,,AcseAuthenticationParameter self,mms/inc/iso_connection_parameters.h,73,LIB61850_API const char* AcseAuthenticationParameter_getPassword(AcseAuthenticationParameter self)
AcseAuthenticationParameter_getPassword,definition,char*,const,AcseAuthenticationParameter self,mms/iso_common/iso_connection_parameters.c,35,const char* AcseAuthenticationParameter_getPassword(AcseAuthenticationParameter self)
AcseAuthenticationParameter_getPasswordLength,declaration,LIB61850_API int,,AcseAuthenticationParameter self,mms/inc/iso_connection_parameters.h,76,LIB61850_API int AcseAuthenticationParameter_getPasswordLength(AcseAuthenticationParameter self)
AcseAuthenticationParameter_getPasswordLength,definition,int,,AcseAuthenticationParameter self,mms/iso_common/iso_connection_parameters.c,48,int AcseAuthenticationParameter_getPasswordLength(AcseAuthenticationParameter self)
AcseAuthenticationParameter_setAuthMechanism,declaration,LIB61850_API void,,"AcseAuthenticationParameter self, AcseAuthenticationMechanism mechanism",mms/inc/iso_connection_parameters.h,64,"LIB61850_API void AcseAuthenticationParameter_setAuthMechanism(AcseAuthenticationParameter self, AcseAuthenticationMechanism mechanism)"
AcseAuthenticationParameter_setAuthMechanism,definition,void,,"AcseAuthenticationParameter self, AcseAuthenticationMechanism mechanism",mms/iso_common/iso_connection_parameters.c,60,"void AcseAuthenticationParameter_setAuthMechanism(AcseAuthenticationParameter self, AcseAuthenticationMechanism mechanism)"
AcseAuthenticationParameter_setPassword,declaration,LIB61850_API void,,"AcseAuthenticationParameter self, char* password",mms/inc/iso_connection_parameters.h,70,"LIB61850_API void AcseAuthenticationParameter_setPassword(AcseAuthenticationParameter self, char* password)"
AcseAuthenticationParameter_setPassword,definition,void,,"AcseAuthenticationParameter self, char* password",mms/iso_common/iso_connection_parameters.c,28,"void AcseAuthenticationParameter_setPassword(AcseAuthenticationParameter self, char* password)"
AcseConnection_createAbortMessage,declaration,LIB61850_INTERNAL void,,"AcseConnection* self, BufferChain writeBuffer, bool isProvider",mms/inc_private/acse.h,72,"LIB61850_INTERNAL void AcseConnection_createAbortMessage(AcseConnection* self, BufferChain writeBuffer, bool isProvider)"
AcseConnection_createAbortMessage,declaration,(unknown),,"NULL, acseBuffer, false",mms/iso_client/iso_client_connection.c,839,"AcseConnection_createAbortMessage(NULL, acseBuffer, false)"
AcseConnection_createAbortMessage,definition,void,,"AcseConnection* self, BufferChain writeBuffer, bool isProvider",mms/iso_acse/acse.c,807,"void AcseConnection_createAbortMessage(AcseConnection* self, BufferChain writeBuffer, bool isProvider)"
AcseConnection_createAssociateFailedMessage,declaration,LIB61850_INTERNAL void,,"AcseConnection* connection, BufferChain writeBuffer",mms/inc_private/acse.h,54,"LIB61850_INTERNAL void AcseConnection_createAssociateFailedMessage(AcseConnection* connection, BufferChain writeBuffer)"
AcseConnection_createAssociateFailedMessage,definition,void,,"AcseConnection* self, BufferChain writeBuffer",mms/iso_acse/acse.c,507,"void AcseConnection_createAssociateFailedMessage(AcseConnection* self, BufferChain writeBuffer)"
AcseConnection_createAssociateRequestMessage,declaration,LIB61850_INTERNAL void,,"AcseConnection* self, IsoConnectionParameters isoParameters, BufferChain writeBuffer, BufferChain payload, AcseAuthenticationParameter authParameter",mms/inc_private/acse.h,65,"LIB61850_INTERNAL void AcseConnection_createAssociateRequestMessage(AcseConnection* self, IsoConnectionParameters isoParameters, BufferChain writeBuffer, BufferChain payload, AcseAuthenticationParameter authParameter)"
AcseConnection_createAssociateRequestMessage,declaration,(unknown),,"&(self->acseConnection), self->parameters, acseBuffer, acsePayload, authParameter",mms/iso_client/iso_client_connection.c,255,"AcseConnection_createAssociateRequestMessage(&(self->acseConnection), self->parameters, acseBuffer, acsePayload, authParameter)"
AcseConnection_createAssociateRequestMessage,definition,void,,"AcseConnection* self, IsoConnectionParameters isoParameters, BufferChain writeBuffer, BufferChain payload, AcseAuthenticationParameter authParameter",mms/iso_acse/acse.c,603,"void AcseConnection_createAssociateRequestMessage(AcseConnection* self, IsoConnectionParameters isoParameters, BufferChain writeBuffer, BufferChain payload, AcseAuthenticationParameter authParameter)"
AcseConnection_createAssociateResponseMessage,declaration,LIB61850_INTERNAL void,,"AcseConnection* self, uint8_t resultCode, BufferChain acseWriteBuffer, BufferChain payloadBuffer",mms/inc_private/acse.h,57,"LIB61850_INTERNAL void AcseConnection_createAssociateResponseMessage( AcseConnection* self, uint8_t resultCode, BufferChain acseWriteBuffer, BufferChain payloadBuffer )"
AcseConnection_createAssociateResponseMessage,declaration,(unknown),,"self, ACSE_RESULT_REJECT_PERMANENT, writeBuffer, NULL",mms/iso_acse/acse.c,511,"AcseConnection_createAssociateResponseMessage(self, ACSE_RESULT_REJECT_PERMANENT, writeBuffer, NULL)"
AcseConnection_createAssociateResponseMessage,declaration,(unknown),,"self->acseConnection, ACSE_RESULT_ACCEPT, acseBufferPart, mmsBufferPart",mms/iso_server/iso_connection.c,255,"AcseConnection_createAssociateResponseMessage(self->acseConnection, ACSE_RESULT_ACCEPT, acseBufferPart, mmsBufferPart)"
